Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalYearsInSameJob,IncomePerHour,AgeWhenJoined,YearsUntilPromotion,EmployeeEngagement,YearOfJoining,Rango_Edad,Clasificacion,Semaforo,Overtime_Marital,Overtime_squared,JobRole_BusinessTravel
44,No,Travel_Rarely,1467,Research & Development,20,3,Life Sciences,1,1475,4,Male,49,3,1,Research Scientist,2,Single,3420,21158,1,Y,0,13,3,3,80,0,6,3,2,5,2,1,3,3,10.6875,39,1,2.8,2019,36-45,Desempeño Bajo,Naranja,No_Single,0,Research Scientist_Travel_Rarely
34,No,Travel_Rarely,735,Sales,3,1,Medical,1,1915,4,Female,75,2,2,Sales Executive,4,Married,8103,16495,3,Y,1,12,3,3,80,0,9,3,2,4,2,0,1,7,25.321875,30,0,3.0,2020,26-35,Desempeño Medio,Verde,Yes_Married,1,Sales Executive_Travel_Rarely
35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,0,14,3,2,80,0,16,2,3,15,13,2,8,14,13.475,20,2,2.2,2009,36-45,Desempeño Bajo,Naranja,No_Single,0,Sales Executive_Travel_Rarely
50,Yes,Travel_Frequently,562,Sales,8,2,Technical Degree,1,723,2,Male,50,3,2,Sales Executive,3,Married,6796,23452,3,Y,1,14,3,1,80,1,18,4,3,4,3,1,3,17,21.2375,46,1,2.4,2020,46-55,Desempeño Medio,Rojo,Yes_Married,1,Sales Executive_Travel_Frequently
26,No,Travel_Rarely,1349,Research & Development,23,3,Life Sciences,1,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886,3032,1,Y,0,22,4,2,80,2,3,3,1,3,2,0,2,2,9.01875,23,0,2.2,2021,26-35,Unicornios,Verde,No_Divorced,0,Research Scientist_Travel_Rarely
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,1,183,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,Y,0,18,3,4,80,0,6,3,3,2,2,2,2,6,26.996875,23,2,2.6,2022,26-35,Desempeño Medio,Verde,No_Married,0,Sales Executive_Travel_Rarely
54,No,Travel_Rarely,821,Research & Development,5,2,Medical,1,522,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,0,11,3,3,80,1,24,4,2,4,2,1,2,22,60.64375,50,1,2.0,2020,46-55,Desempeño Bajo,Naranja,No_Married,0,Research Director_Travel_Rarely
29,No,Travel_Rarely,986,Research & Development,3,4,Medical,1,564,2,Male,93,2,3,Research Director,3,Married,11935,21526,1,Y,0,18,3,3,80,0,10,2,3,10,2,0,7,2,37.296875,19,0,2.6,2014,26-35,Desempeño Medio,Verde,No_Married,0,Research Director_Travel_Rarely
27,No,Travel_Frequently,591,Research & Development,2,3,Medical,1,1648,4,Male,87,3,1,Research Scientist,4,Single,2580,6297,2,Y,0,13,3,3,80,0,6,0,2,4,2,1,2,4,8.0625,23,1,3.2,2020,26-35,Desempeño Medio,Verde,No_Single,0,Research Scientist_Travel_Frequently
56,No,Travel_Rarely,832,Research & Development,9,3,Medical,1,762,3,Male,81,3,4,Healthcare Representative,4,Married,11103,20420,7,Y,0,11,3,3,80,0,30,1,2,10,7,1,1,27,34.696875,46,1,3.0,2014,56-65,Desempeño Medio,Verde,No_Married,0,Healthcare Representative_Travel_Rarely
31,Yes,Travel_Frequently,874,Research & Development,15,3,Medical,1,1160,3,Male,72,3,1,Laboratory Technician,3,Married,2610,6233,1,Y,0,12,3,3,80,1,2,5,2,2,2,2,2,2,8.15625,29,2,2.8,2022,26-35,Desempeño Medio,Rojo,No_Married,0,Laboratory Technician_Travel_Frequently
26,Yes,Travel_Frequently,342,Research & Development,2,3,Life Sciences,1,1053,1,Male,57,3,1,Research Scientist,1,Married,2042,15346,6,Y,1,14,3,2,80,1,6,2,3,3,2,1,2,5,6.38125,23,1,2.0,2021,26-35,Desempeño Bajo,Rojo,Yes_Married,1,Research Scientist_Travel_Frequently
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,0,14,3,3,80,1,19,6,4,1,0,0,0,18,6.51875,38,0,3.6,2023,36-45,Desempeño Medio,Rojo,No_Married,0,Sales Representative_Travel_Rarely
49,No,Travel_Rarely,1313,Sales,11,4,Marketing,1,1757,4,Female,80,3,2,Sales Executive,4,Single,4507,8191,3,Y,0,12,3,3,80,0,8,1,4,5,1,0,4,4,14.084375,44,0,3.6,2019,46-55,Desempeño Medio,Verde,No_Single,0,Sales Executive_Travel_Rarely
36,Yes,Travel_Rarely,885,Research & Development,16,4,Life Sciences,1,1042,3,Female,43,4,1,Laboratory Technician,1,Single,2743,8269,1,Y,0,16,3,3,80,0,18,1,3,17,13,15,14,14,8.571875,19,15,2.8,2007,36-45,Desempeño Bajo,Rojo,No_Single,0,Laboratory Technician_Travel_Rarely
58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,0,13,3,3,80,0,38,1,2,37,10,1,8,11,43.35,21,1,3.0,1987,56-65,Desempeño Medio,Verde,No_Single,0,Sales Executive_Travel_Rarely
49,No,Travel_Rarely,465,Research & Development,6,1,Life Sciences,1,1661,3,Female,41,2,4,Healthcare Representative,3,Married,13966,11652,2,Y,1,19,3,2,80,1,30,3,3,15,11,2,12,26,43.64375,34,2,2.6,2009,46-55,Desempeño Medio,Verde,Yes_Married,1,Healthcare Representative_Travel_Rarely
52,No,Non-Travel,715,Research & Development,19,4,Medical,1,791,4,Male,41,3,1,Research Scientist,4,Married,4258,26589,0,Y,0,18,3,1,80,1,5,3,3,4,3,1,2,4,13.30625,48,1,3.0,2020,46-55,Desempeño Medio,Verde,No_Married,0,Research Scientist_Non-Travel
38,No,Travel_Frequently,471,Research & Development,12,3,Life Sciences,1,837,1,Male,45,2,2,Healthcare Representative,1,Divorced,6288,4284,2,Y,0,15,3,3,80,1,13,3,2,4,3,1,2,12,19.65,34,1,1.8,2020,36-45,Desempeño Bajo,Naranja,No_Divorced,0,Healthcare Representative_Travel_Frequently
32,Yes,Travel_Rarely,414,Sales,2,4,Marketing,1,1862,3,Male,82,2,2,Sales Executive,2,Single,9907,26186,7,Y,1,12,3,3,80,0,7,3,2,2,2,2,2,7,30.959375,30,2,2.4,2022,26-35,Desempeño Bajo,Rojo,Yes_Single,1,Sales Executive_Travel_Rarely
55,No,Travel_Rarely,1117,Sales,18,5,Life Sciences,1,597,1,Female,83,3,4,Manager,2,Single,16835,9873,3,Y,0,23,4,4,80,0,37,2,3,10,9,7,7,36,52.609375,45,7,2.6,2014,56-65,Desempeño Bajo,Naranja,No_Single,0,Manager_Travel_Rarely
46,No,Travel_Rarely,1319,Sales,3,3,Technical Degree,1,1863,1,Female,45,4,4,Sales Executive,1,Divorced,13225,7739,2,Y,0,12,3,4,80,1,25,5,3,19,17,2,8,23,41.328125,27,2,2.6,2005,46-55,Desempeño Bajo,Naranja,No_Divorced,0,Sales Executive_Travel_Rarely
26,No,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,384,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,0,20,4,1,80,1,6,6,1,6,5,1,4,5,19.990625,20,1,2.0,2018,26-35,Desempeño Bajo,Naranja,No_Divorced,0,Manufacturing Director_Travel_Frequently
34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,0,20,4,3,80,0,10,2,3,9,5,8,7,6,14.275,25,8,2.8,2015,26-35,Desempeño Medio,Verde,No_Single,0,Sales Executive_Non-Travel
30,Yes,Travel_Frequently,334,Sales,26,4,Marketing,1,299,3,Female,52,2,2,Sales Executive,1,Single,6696,22967,5,Y,0,15,3,3,80,0,9,5,2,6,3,0,1,6,20.925,24,0,2.2,2018,26-35,Desempeño Bajo,Rojo,No_Single,0,Sales Executive_Travel_Frequently
42,No,Travel_Rarely,269,Research & Development,2,3,Medical,1,351,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Y,1,11,3,3,80,1,10,4,3,9,6,7,8,7,8.103125,33,7,2.6,2015,36-45,Desempeño Bajo,Naranja,Yes_Divorced,1,Laboratory Technician_Travel_Rarely
41,No,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,1085,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,Y,0,13,3,3,80,0,10,3,3,10,6,0,8,6,10.55,31,0,3.0,2014,36-45,Desempeño Medio,Verde,No_Married,0,Research Scientist_Travel_Rarely
31,No,Non-Travel,979,Research & Development,1,4,Medical,1,308,3,Male,90,1,2,Manufacturing Director,3,Married,4345,4381,0,Y,0,12,3,4,80,1,6,2,3,5,4,1,4,5,13.578125,26,1,2.8,2019,26-35,Desempeño Medio,Verde,No_Married,0,Manufacturing Director_Non-Travel
40,No,Travel_Frequently,720,Research & Development,16,4,Medical,1,832,1,Male,51,2,2,Laboratory Technician,3,Single,5094,11983,6,Y,0,14,3,4,80,0,10,6,3,1,0,0,0,9,15.91875,39,0,2.6,2023,36-45,Desempeño Medio,Verde,No_Single,0,Laboratory Technician_Travel_Frequently
32,No,Travel_Rarely,824,Research & Development,5,2,Life Sciences,1,1555,4,Female,67,2,2,Research Scientist,2,Married,5878,15624,3,Y,0,12,3,1,80,1,12,2,3,7,1,2,5,6,18.36875,25,2,2.4,2017,26-35,Desempeño Bajo,Naranja,No_Married,0,Research Scientist_Travel_Rarely
36,No,Travel_Rarely,1041,Human Resources,13,3,Human Resources,1,829,3,Male,36,3,1,Human Resources,2,Married,2143,25527,4,Y,0,13,3,2,80,1,8,2,3,5,2,0,4,5,6.696875,31,0,2.6,2019,36-45,Desempeño Bajo,Naranja,No_Married,0,Human Resources_Travel_Rarely
29,No,Travel_Rarely,738,Research & Development,9,5,Other,1,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,Y,0,17,3,3,80,0,4,2,3,3,2,2,2,3,12.446875,26,2,2.8,2021,26-35,Desempeño Medio,Verde,No_Single,0,Laboratory Technician_Travel_Rarely
25,No,Travel_Rarely,1382,Sales,8,2,Other,1,2018,1,Female,85,3,2,Sales Executive,3,Divorced,4907,13684,0,Y,1,22,4,2,80,1,6,3,2,5,3,0,4,4,15.334375,20,0,2.2,2019,26-35,Desempeño Medio,Verde,Yes_Divorced,1,Sales Executive_Travel_Rarely
27,No,Travel_Rarely,1291,Sales,11,3,Medical,1,1364,3,Female,98,4,1,Sales Representative,4,Married,2534,6527,8,Y,0,14,3,2,80,1,5,4,3,1,0,0,0,4,7.91875,26,0,3.2,2023,26-35,Desempeño Medio,Verde,No_Married,0,Sales Representative_Travel_Rarely
42,No,Travel_Rarely,932,Research & Development,1,2,Life Sciences,1,827,4,Female,43,2,2,Manufacturing Director,4,Married,6062,4051,9,Y,1,13,3,4,80,1,8,4,3,4,3,0,2,7,18.94375,38,0,3.4,2020,36-45,Desempeño Medio,Verde,Yes_Married,1,Manufacturing Director_Travel_Rarely
45,No,Non-Travel,1238,Research & Development,1,1,Life Sciences,1,1712,3,Male,74,2,3,Healthcare Representative,3,Married,10748,3395,3,Y,0,23,4,4,80,1,25,3,2,23,15,14,4,17,33.5875,22,14,2.8,2001,46-55,Desempeño Medio,Verde,No_Married,0,Healthcare Representative_Non-Travel
31,No,Travel_Rarely,741,Research & Development,2,4,Life Sciences,1,1721,2,Male,69,3,1,Laboratory Technician,3,Married,3477,18103,1,Y,0,14,3,4,80,1,6,2,4,5,2,0,3,3,10.865625,26,0,3.2,2019,26-35,Desempeño Medio,Verde,No_Married,0,Laboratory Technician_Travel_Rarely
54,No,Travel_Rarely,397,Human Resources,19,4,Medical,1,698,3,Male,88,3,3,Human Resources,2,Married,10725,6729,2,Y,0,15,3,3,80,1,16,1,4,9,7,7,1,14,33.515625,45,7,3.0,2015,46-55,Desempeño Bajo,Naranja,No_Married,0,Human Resources_Travel_Rarely
24,No,Travel_Rarely,823,Research & Development,17,2,Other,1,643,4,Male,94,2,1,Laboratory Technician,2,Married,2127,9100,1,Y,0,21,4,4,80,1,1,2,3,1,0,0,0,0,6.646875,23,0,3.0,2023,18-25,Desempeño Bajo,Naranja,No_Married,0,Laboratory Technician_Travel_Rarely
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,Y,0,13,3,3,80,0,23,5,3,20,18,15,15,21,61.053125,31,15,2.6,2004,46-55,Desempeño Medio,Verde,No_Single,0,Research Director_Travel_Rarely
35,No,Travel_Frequently,636,Research & Development,4,4,Other,1,1185,4,Male,47,2,1,Laboratory Technician,4,Married,2376,26537,1,Y,0,13,3,2,80,1,2,2,4,2,2,2,2,2,7.425,33,2,3.2,2022,36-45,Desempeño Medio,Verde,No_Married,0,Laboratory Technician_Travel_Frequently
48,No,Travel_Rarely,1355,Research & Development,4,4,Life Sciences,1,1024,3,Male,78,2,3,Healthcare Representative,3,Single,10999,22245,7,Y,0,14,3,2,80,0,27,3,3,15,11,4,8,23,34.371875,33,4,2.6,2009,46-55,Desempeño Medio,Verde,No_Single,0,Healthcare Representative_Travel_Rarely
34,No,Travel_Frequently,878,Research & Development,10,4,Medical,1,277,4,Male,43,3,1,Research Scientist,3,Divorced,3815,5972,1,Y,1,17,3,4,80,1,5,4,4,5,3,2,0,3,11.921875,29,2,3.6,2019,26-35,Desempeño Medio,Verde,Yes_Divorced,1,Research Scientist_Travel_Frequently
44,No,Travel_Rarely,1313,Research & Development,7,3,Medical,1,1608,2,Female,31,3,5,Research Director,4,Divorced,19049,3549,0,Y,1,14,3,4,80,1,23,4,2,22,7,1,10,8,59.528125,22,1,3.0,2002,36-45,Desempeño Medio,Verde,Yes_Divorced,1,Research Director_Travel_Rarely
48,No,Travel_Rarely,1221,Sales,7,3,Marketing,1,1466,3,Male,96,3,2,Sales Executive,1,Divorced,5486,24795,4,Y,0,11,3,1,80,3,15,3,3,2,2,2,2,15,17.14375,46,2,2.2,2022,46-55,Desempeño Bajo,Naranja,No_Divorced,0,Sales Executive_Travel_Rarely
24,No,Travel_Rarely,477,Research & Development,24,3,Medical,1,1173,4,Male,49,3,1,Laboratory Technician,2,Single,3597,6409,8,Y,0,22,4,4,80,0,6,2,3,4,3,1,2,5,11.240625,20,1,3.2,2020,18-25,Desempeño Bajo,Naranja,No_Single,0,Laboratory Technician_Travel_Rarely
28,No,Travel_Rarely,1451,Research & Development,2,1,Life Sciences,1,1136,1,Male,67,2,1,Research Scientist,2,Married,3201,19911,0,Y,0,17,3,1,80,0,6,2,1,5,3,0,4,4,10.003125,23,0,1.4,2019,26-35,Desempeño Bajo,Naranja,No_Married,0,Research Scientist_Travel_Rarely
39,No,Travel_Rarely,867,Research & Development,9,2,Medical,1,1936,1,Male,87,3,2,Manufacturing Director,1,Married,5151,12315,1,Y,0,25,4,4,80,1,10,3,3,10,0,7,9,0,16.096875,29,7,2.4,2014,36-45,Desempeño Bajo,Naranja,No_Married,0,Manufacturing Director_Travel_Rarely
54,No,Travel_Rarely,155,Research & Development,9,2,Life Sciences,1,1969,1,Female,67,3,2,Research Scientist,3,Married,2897,22474,3,Y,0,11,3,3,80,2,9,6,2,4,3,2,3,8,9.053125,50,2,2.4,2020,46-55,Desempeño Medio,Verde,No_Married,0,Research Scientist_Travel_Rarely
38,No,Non-Travel,1336,Human Resources,2,3,Human Resources,1,1805,1,Male,100,3,1,Human Resources,2,Divorced,2592,7129,5,Y,0,13,3,4,80,3,13,3,3,11,10,3,8,12,8.1,27,3,2.6,2013,36-45,Desempeño Bajo,Naranja,No_Divorced,0,Human Resources_Non-Travel
39,No,Non-Travel,1485,Research & Development,25,2,Life Sciences,1,1397,3,Male,71,3,3,Healthcare Representative,3,Married,10920,3449,3,Y,0,21,4,2,80,1,13,2,3,6,4,0,5,11,34.125,33,0,2.8,2018,36-45,Desempeño Medio,Verde,No_Married,0,Healthcare Representative_Non-Travel
24,No,Travel_Rarely,581,Research & Development,9,3,Medical,1,1707,3,Male,62,4,1,Research Scientist,3,Married,4401,17616,1,Y,0,16,3,4,80,1,5,1,3,5,3,0,4,3,13.753125,19,0,3.4,2019,18-25,Desempeño Medio,Verde,No_Married,0,Research Scientist_Travel_Rarely
35,Yes,Travel_Rarely,737,Sales,10,3,Medical,1,1639,4,Male,55,2,3,Sales Executive,1,Married,10306,21530,9,Y,0,17,3,3,80,0,15,3,3,13,12,6,0,14,32.20625,22,6,2.6,2011,36-45,Desempeño Bajo,Rojo,No_Married,0,Sales Executive_Travel_Rarely
35,No,Travel_Rarely,607,Research & Development,9,3,Life Sciences,1,880,4,Female,66,2,3,Manufacturing Director,3,Married,10685,23457,1,Y,1,20,4,2,80,1,17,2,3,17,14,5,15,14,33.390625,18,5,2.8,2007,36-45,Desempeño Medio,Verde,Yes_Married,1,Manufacturing Director_Travel_Rarely
31,No,Travel_Rarely,408,Research & Development,9,4,Life Sciences,1,493,3,Male,42,2,1,Research Scientist,2,Single,2657,7551,0,Y,1,16,3,4,80,0,3,5,3,2,2,2,2,3,8.303125,29,2,2.8,2022,26-35,Desempeño Bajo,Naranja,Yes_Single,1,Research Scientist_Travel_Rarely
42,No,Non-Travel,335,Research & Development,23,2,Life Sciences,1,1976,4,Male,37,2,2,Research Scientist,3,Single,4332,14811,1,Y,0,12,3,4,80,0,20,2,3,20,9,3,7,9,13.5375,22,3,3.2,2004,36-45,Desempeño Medio,Verde,No_Single,0,Research Scientist_Non-Travel
46,No,Travel_Rarely,1402,Sales,2,3,Marketing,1,1204,3,Female,69,3,4,Manager,1,Married,17048,24097,8,Y,0,23,4,1,80,0,28,2,3,26,15,15,9,17,53.275,20,15,2.2,1998,46-55,Desempeño Bajo,Naranja,No_Married,0,Manager_Travel_Rarely
34,No,Travel_Rarely,1326,Sales,3,3,Other,1,1478,4,Male,81,1,2,Sales Executive,1,Single,4759,15891,3,Y,0,18,3,4,80,0,15,2,3,13,9,3,12,11,14.871875,21,3,2.6,2011,26-35,Desempeño Bajo,Naranja,No_Single,0,Sales Executive_Travel_Rarely
22,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,1,926,2,Female,34,3,2,Manufacturing Director,3,Married,4171,10022,0,Y,1,19,3,1,80,1,4,3,4,3,2,0,2,3,13.034375,19,0,2.6,2021,18-25,Desempeño Medio,Rojo,Yes_Married,1,Manufacturing Director_Travel_Rarely
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,1,458,2,Female,56,3,2,Sales Executive,2,Married,6214,3415,1,Y,0,18,3,1,80,1,8,3,3,8,7,0,7,7,19.41875,19,0,2.2,2016,26-35,Desempeño Bajo,Naranja,No_Married,0,Sales Executive_Travel_Rarely
